SiparisNo;MusteriAdi;Sehir;SiparisTarihi;Tutar;KargoFirmasi;KargoUcreti;Durum;UrunAdedi;OdemeTipi
SIP2026177;onur kaya;Bursa;N/A;8363.27;Sürat;abc;İade;25; 
SIP2026035;  Hüseyin Özdemir ;Eskişehir;2026-08-26;14448.16;n/a;94,47;Kargoda;19;Havale
SIP2026144;emre çelik;samsun;05.05.2025;14385.44;MNG;10,05;İptal;12; 
SIP2026165;HÜSEYIN ŞAHIN;  Kayseri ;12/07/2025;8.651,29;Yurtiçi;202,56;Kargoda;16;Kredi Kartı
SIP2026246;deniz yıldız;antalya;14.10.2025;3779.67;MNG;89,74;Hazırlanıyor;17;n/a
SIP2026056;deniz gül;GAZIANTEP;2025-10-21;311.76;NaN;5.91;İade;5;Kapıda Nakit
SIP2026033;Volkan Bal;Kocaeli;2026-11-11;10.204,72;bilinmiyor;163,64;Kargoda;6;Havale
SIP2026173;VOLKAN YILMAZ;BURSA;yok;8.434,96;PTT;66,85;İptal;15;Havale
SIP2026432;Barış Bal;Kocaeli;18/03/2027;1474.20;PTT;95.73;Hazırlanıyor;5;Kapıda Kart
SIP2026482;Nuray Arslan;Trabzon;2025-06-20;7.312,61;MNG;247,51;KARGODA;14;Kapıda Kart
SIP2026462;Pınar Yılmaz;Malatya;29/10/2026;6.056,62;UPS;116.22;İptal;20;Kapıda Nakit
SIP2026127;Hüseyin Aksoy;Eskişehir;10.09.2025;2.965,34;MNG;76,88;hazirlaniyor;22;Kredi Kartı
SIP2026198;Emre Arslan;denizli;2025-01-01;6.643,06;Yurtiçi;89,60;Kargoda;3;Havale
SIP2026405;hakan arslan;kayseri;15/01/2026;755,28;Yurtiçi;145.88;İade;24;Kredi Kartı
SIP2026311;SERKAN AYDIN;denizli;2026-12-09;9.679,00;MNG;221,85;İade;15;Havale
SIP2026200;ALI TAŞ;Bursa;31.01.2027;2492.56;MNG;209,34;KARGODA;11;Havale
SIP2026413;GIZEM ATEŞ;İSTANBUL;02.09.2026;12.426,19;MNG;165,23;Hazırlanıyor;14;Kapıda Kart
SIP2026113;Emine Arslan;Gaziantep;28.12.2026;3439.14;PTT;107,67;Hazırlanıyor;24;Kapıda Nakit
SIP2026175;HÜSEYIN UÇAR;Antalya;2026-01-24;9.402,65;Sürat;66.68;Kargoda;19;Kapıda Nakit
SIP2026039;  Serkan Uçar ;i̇stanbul;27/03/2025;13.588,41;Aras;61,32;hazirlaniyor;18;Kredi Kartı
SIP2026214;Mehmet Koç;ANTALYA;23/03/2026;4.370,83;MNG;145,91;Teslim Edildi;13;Kapıda Nakit
SIP2026449;Mehmet Kurt;Kocaeli;2025-12-10;4.034,82;PTT;52,88;İptal;bilinmiyor;Havale
SIP2026444;Onur Bal;ESKIŞEHIR;12.05.2025;5791.78;MNG;43,66;İade;15;Havale
SIP2026139;Can Çelik;samsun;2027-04-15;9.646,74;Yurtiçi;5,05;KARGODA;2;bilinmiyor
SIP2026364;seda taş;i̇zmir;2025-01-03;6.207,52;UPS;119.58;İade;19;Kapıda Nakit
SIP2026441;Mustafa Yılmaz;gaziantep;06/08/2026;1.387,37;MNG;95,35;Hazırlanıyor;15;Kapıda Nakit
SIP2026371;ZEYNEP KOÇ;Samsun;14/03/2026;237,24;PTT;?;İptal;18;Havale
SIP2026328;  Kemal Koç ;Samsun;05/12/2026;2658.93;Sürat;191.68;Kargoda;8;Kapıda Kart
SIP2026051;merve aydın;trabzon;22/07/2025;10246.12;Yurtiçi;?;İade;25;Kredi Kartı
SIP2026269;aylin tan;İZMIR;26.09.2025;1.516,71;Yurtiçi;95,72;Kargoda;25;Kapıda Kart
SIP2026273;onur bal;  Gaziantep ;23.07.2026;3524.86;Sürat;216,57;İptal;3;null
SIP2026049;  Gizem Ateş ;Kayseri;27/01/2025;7.029,99;MNG;58.59;Kargoda;1;Kredi Kartı
SIP2026231;  Hüseyin Şahin ;  Adana ;2026-10-26;12653.39;UPS;109,31;Kargoda;1;Kapıda Kart
SIP2026369;  Merve Koç ;  Eskişehir ;29.01.2025;3766.15;Sürat;212,97;Teslim Edildi;null;Kapıda Kart
SIP2026481;Mehmet Yılmaz;KAYSERI;16.07.2025;4947.38;PTT;151.36;hazirlaniyor;3;Havale
SIP2026083;Hakan Aksoy;Trabzon;25.02.2026;7.976,81;Yurtiçi;62.40;KARGODA;6;Havale
SIP2026168;  Zeynep Kaya ;adana;04.06.2027;10.910,38;MNG;108.62;İade;24;Kredi Kartı
SIP2026302;Ali Doğan;ESKIŞEHIR;05/10/2025;1251.30;MNG;151.13;Hazırlanıyor;N/A;Kapıda Kart
SIP2026425;DENIZ ÖZDEMIR;i̇zmir;2025-03-28;7.370,72;Yurtiçi;162,45;hazirlaniyor;1;Kapıda Nakit
SIP2026313;Elif Demir;Eskişehir;09/06/2026;6582.81;UPS;175,00;İade;6;Havale
SIP2026459;Mehmet Doğan;Trabzon;2025-01-05;9853.91;Aras;154.84;KARGODA;1;Kapıda Nakit
SIP2026138;okan öztürk;SAMSUN;2025-12-06;2.803,20;Sürat;81,52;İade;12;Havale
SIP2026447;ahmet şahin;  Samsun ;2025-03-07;13.579,29;Yurtiçi;61,13;Teslim Edildi;6;Havale
SIP2026114;okan aksoy;Malatya;2026-01-06;11.898,54;Yurtiçi;105,51;Teslim Edildi;23;Havale
SIP2026305;  Selin Demir ;trabzon;2026-04-02;1700.57;Yurtiçi;166.55;Teslim Edildi;24;Kredi Kartı
SIP2026325;  Can Gül ;denizli;2026-10-01;2914.96;MNG;62.05;İade;10;Kapıda Kart
SIP2026070;Ayşe Şahin;i̇zmir;14/03/2025;3.488,14;UPS;162.16;İade;22;Kredi Kartı
